channel,video,old,new
CH05,008,❓ global: script_validated,timeline_copy: script_validated
CH05,014,in_progress: 2/13完了,script_outline: completed (2/13完了)
CH06,001,❓ global: script_validated,timeline_copy: script_validated
CH06,002,audio_done: 11/13完了,audio_synthesis: completed (11/13完了)
CH06,003,❓ global: script_validated,timeline_copy: script_validated
CH06,004,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH06,005,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH06,006,❓ global: script_validated,timeline_copy: script_validated
CH06,007,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH06,008,❓ global: script_validated,timeline_copy: script_validated
CH06,009,❓ global: script_validated,timeline_copy: script_validated
CH06,010,❓ global: script_validated,timeline_copy: script_validated
CH06,011,❓ global: script_validated,timeline_copy: script_validated
CH06,012,❓ global: script_validated,timeline_copy: script_validated
CH06,013,❓ global: script_validated,timeline_copy: script_validated
CH06,015,❓ global: script_validated,timeline_copy: script_validated
CH06,016,❓ global: script_validated,timeline_copy: script_validated
CH06,017,❓ global: script_validated,timeline_copy: script_validated
CH06,018,❓ global: script_validated,timeline_copy: script_validated
CH06,020,script_validated: 9/13完了,script_validation: completed (9/13完了)
CH06,021,❓ global: script_validated,timeline_copy: script_validated
